Observation id,T3D11R2,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,/Volumes/Mr Drive/Waldrop Lab Ethogram/Videos/Trial 3/Run 2/T3D11R2_SideView_720.mp4,,,,,,,
,,,,,,,,
Observation date,2023-04-04 16:15:42,,,,,,,
,,,,,,,,
Description,,,,,,,,
,,,,,,,,
Time offset (s),0.0,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
30.431,/Volumes/Mr Drive/Waldrop Lab Ethogram/Videos/Trial 3/Run 2/T3D11R2_SideView_720.mp4,58.490,29.97,,s,,,START
31.180,/Volumes/Mr Drive/Waldrop Lab Ethogram/Videos/Trial 3/Run 2/T3D11R2_SideView_720.mp4,58.490,29.97,,h,,,POINT
31.180,/Volumes/Mr Drive/Waldrop Lab Ethogram/Videos/Trial 3/Run 2/T3D11R2_SideView_720.mp4,58.490,29.97,,s,,,STOP
31.183,/Volumes/Mr Drive/Waldrop Lab Ethogram/Videos/Trial 3/Run 2/T3D11R2_SideView_720.mp4,58.490,29.97,,t,,,POINT
31.429,/Volumes/Mr Drive/Waldrop Lab Ethogram/Videos/Trial 3/Run 2/T3D11R2_SideView_720.mp4,58.490,29.97,,e,,,POINT
32.933,/Volumes/Mr Drive/Waldrop Lab Ethogram/Videos/Trial 3/Run 2/T3D11R2_SideView_720.mp4,58.490,29.97,,l,,,START
33.182,/Volumes/Mr Drive/Waldrop Lab Ethogram/Videos/Trial 3/Run 2/T3D11R2_SideView_720.mp4,58.490,29.97,,l,,,STOP
33.432,/Volumes/Mr Drive/Waldrop Lab Ethogram/Videos/Trial 3/Run 2/T3D11R2_SideView_720.mp4,58.490,29.97,,s,,,START
34.430,/Volumes/Mr Drive/Waldrop Lab Ethogram/Videos/Trial 3/Run 2/T3D11R2_SideView_720.mp4,58.490,29.97,,h,,,POINT
