Observation id,T3D19R2_sideview_1,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,/Users/regolith/Documents/DogVideos25Feb2023/LargeSideCamera/T3D19R2_SideView_720l.mp4,,,,,,,
,,,,,,,,
Observation date,2023-05-17 13:57:16,,,,,,,
,,,,,,,,
Description,,,,,,,,
,,,,,,,,
Time offset (s),0.000,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
21.774,/Users/regolith/Documents/DogVideos25Feb2023/LargeSideCamera/T3D19R2_SideView_720l.mp4,74.920,29.97,,r,,,START
27.020,/Users/regolith/Documents/DogVideos25Feb2023/LargeSideCamera/T3D19R2_SideView_720l.mp4,74.920,29.97,,r,,,STOP
