Observation id,T3D11R2_sideview_1,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,/Users/regolith/Documents/DogVideos25Feb2023/LargeSideCamera/T3D11R2_SideView_720l.mp4,,,,,,,
,,,,,,,,
Observation date,2023-05-17 13:39:09,,,,,,,
,,,,,,,,
Description,,,,,,,,
,,,,,,,,
Time offset (s),0.000,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
24.022,/Users/regolith/Documents/DogVideos25Feb2023/LargeSideCamera/T3D11R2_SideView_720l.mp4,58.500,29.97,,r,,,START
45.271,/Users/regolith/Documents/DogVideos25Feb2023/LargeSideCamera/T3D11R2_SideView_720l.mp4,58.500,29.97,,r,,,STOP
