Observation id,T3D23R2_sideview_1,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,/Users/regolith/Documents/DogVideos25Feb2023/SmallSideCamera/T3D23R2_SideView_720l.mp4,,,,,,,
,,,,,,,,
Observation date,2023-05-17 14:14:29,,,,,,,
,,,,,,,,
Description,,,,,,,,
,,,,,,,,
Time offset (s),0.000,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
23.708,/Users/regolith/Documents/DogVideos25Feb2023/SmallSideCamera/T3D23R2_SideView_720l.mp4,101.010,29.97,,r,,,START
70.522,/Users/regolith/Documents/DogVideos25Feb2023/SmallSideCamera/T3D23R2_SideView_720l.mp4,101.010,29.97,,r,,,STOP
