Observation id,T3D12R1_sideview_1,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,/Users/regolith/Documents/DogVideos25Feb2023/LargeSideCamera/T3D12R1_SideView_720l.mp4,,,,,,,
,,,,,,,,
Observation date,2023-05-17 13:40:44,,,,,,,
,,,,,,,,
Description,,,,,,,,
,,,,,,,,
Time offset (s),0.000,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
33.367,/Users/regolith/Documents/DogVideos25Feb2023/LargeSideCamera/T3D12R1_SideView_720l.mp4,90.470,29.97,,r,,,START
87.864,/Users/regolith/Documents/DogVideos25Feb2023/LargeSideCamera/T3D12R1_SideView_720l.mp4,90.470,29.97,,r,,,STOP
