Observation id,T3D1R1_sideview_1,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,/Users/regolith/Documents/DogVideos25Feb2023/LargeSideCamera/T3D1R1_SideView_720l.mp4,,,,,,,
,,,,,,,,
Observation date,2023-05-17 13:15:08,,,,,,,
,,,,,,,,
Description,,,,,,,,
,,,,,,,,
Time offset (s),0.000,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
34.771,/Users/regolith/Documents/DogVideos25Feb2023/LargeSideCamera/T3D1R1_SideView_720l.mp4,71.420,29.97,,r,,,START
66.520,/Users/regolith/Documents/DogVideos25Feb2023/LargeSideCamera/T3D1R1_SideView_720l.mp4,71.420,29.97,,r,,,STOP
