Observation id,T3D11R1_sideview_1,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,/Users/regolith/Documents/DogVideos25Feb2023/LargeSideCamera/T3D11R1_SideView_720l.mp4,,,,,,,
,,,,,,,,
Observation date,2023-05-17 13:34:15,,,,,,,
,,,,,,,,
Description,,,,,,,,
,,,,,,,,
Time offset (s),0.000,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
25.522,/Users/regolith/Documents/DogVideos25Feb2023/LargeSideCamera/T3D11R1_SideView_720l.mp4,119.640,29.97,,r,,,START
112.164,/Users/regolith/Documents/DogVideos25Feb2023/LargeSideCamera/T3D11R1_SideView_720l.mp4,119.640,29.97,,r,,,STOP
