Observation id,T3D19R1_sideview_1,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,/Users/regolith/Documents/DogVideos25Feb2023/LargeSideCamera/T3D19R1_SideView_720l.mp4,,,,,,,
,,,,,,,,
Observation date,2023-05-17 13:56:03,,,,,,,
,,,,,,,,
Description,,,,,,,,
,,,,,,,,
Time offset (s),0.000,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
21.774,/Users/regolith/Documents/DogVideos25Feb2023/LargeSideCamera/T3D19R1_SideView_720l.mp4,39.120,29.97,,r,,,START
38.333,/Users/regolith/Documents/DogVideos25Feb2023/LargeSideCamera/T3D19R1_SideView_720l.mp4,39.120,29.97,,r,,,STOP
