Observation id,T3D21R2_sideview_1,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,/Users/regolith/Documents/DogVideos25Feb2023/LargeSideCamera/T3D21R2_SideView_720l.mp4,,,,,,,
,,,,,,,,
Observation date,2023-05-17 14:04:27,,,,,,,
,,,,,,,,
Description,,,,,,,,
,,,,,,,,
Time offset (s),0.000,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
12.927,/Users/regolith/Documents/DogVideos25Feb2023/LargeSideCamera/T3D21R2_SideView_720l.mp4,60.610,29.97,,r,,,START
38.931,/Users/regolith/Documents/DogVideos25Feb2023/LargeSideCamera/T3D21R2_SideView_720l.mp4,60.610,29.97,,r,,,STOP
