Observation id,T3D15R2_sideview_1,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,/Users/regolith/Documents/DogVideos25Feb2023/LargeSideCamera/T3D15R2_SideView_720l.mp4,,,,,,,
,,,,,,,,
Observation date,2023-05-17 13:51:05,,,,,,,
,,,,,,,,
Description,,,,,,,,
,,,,,,,,
Time offset (s),0.000,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
22.522,/Users/regolith/Documents/DogVideos25Feb2023/LargeSideCamera/T3D15R2_SideView_720l.mp4,96.300,29.97,,r,,,START
83.523,/Users/regolith/Documents/DogVideos25Feb2023/LargeSideCamera/T3D15R2_SideView_720l.mp4,96.300,29.97,,r,,,STOP
